occurrenceID,measurementType,measurementValue
IYS2019-Kaganovsky-1-Bongo-1-22,lifeStage,NA
IYS2019-Kaganovsky-1-Bongo-1-22,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-22,abundance,7.92452830188679
IYS2019-Kaganovsky-1-Bongo-1-23,lifeStage,C4
IYS2019-Kaganovsky-1-Bongo-1-23,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-23,abundance,3.39622641509434
IYS2019-Kaganovsky-1-Bongo-1-24,lifeStage,C5
IYS2019-Kaganovsky-1-Bongo-1-24,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-24,abundance,1.13207547169811
IYS2019-Kaganovsky-1-Bongo-1-25,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-25,sex,M
IYS2019-Kaganovsky-1-Bongo-1-25,abundance,0.377358490566038
IYS2019-Kaganovsky-1-Bongo-1-26,lifeStage,C1
IYS2019-Kaganovsky-1-Bongo-1-26,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-26,abundance,0.377358490566038
IYS2019-Kaganovsky-1-Bongo-1-27,lifeStage,C2
IYS2019-Kaganovsky-1-Bongo-1-27,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-27,abundance,5.28301886792453
IYS2019-Kaganovsky-1-Bongo-1-28,lifeStage,C3
IYS2019-Kaganovsky-1-Bongo-1-28,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-28,abundance,3.0188679245283
IYS2019-Kaganovsky-1-Bongo-1-29,lifeStage,C4
IYS2019-Kaganovsky-1-Bongo-1-29,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-29,abundance,0.0235849056603774
IYS2019-Kaganovsky-1-Bongo-1-30,lifeStage,C5
IYS2019-Kaganovsky-1-Bongo-1-30,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-30,abundance,0.0235849056603774
IYS2019-Kaganovsky-1-Bongo-1-31,lifeStage,NA
IYS2019-Kaganovsky-1-Bongo-1-31,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-31,abundance,10.9433962264151
IYS2019-Kaganovsky-1-Bongo-1-32,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-32,sex,F
IYS2019-Kaganovsky-1-Bongo-1-32,abundance,7.92452830188679
IYS2019-Kaganovsky-1-Bongo-1-33,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-33,sex,F
IYS2019-Kaganovsky-1-Bongo-1-33,abundance,26.4150943396226
IYS2019-Kaganovsky-1-Bongo-1-34,lifeStage,C5
IYS2019-Kaganovsky-1-Bongo-1-34,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-34,abundance,26.4150943396226
IYS2019-Kaganovsky-1-Bongo-1-35,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-35,sex,F
IYS2019-Kaganovsky-1-Bongo-1-35,abundance,1.50943396226415
IYS2019-Kaganovsky-1-Bongo-1-36,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-36,sex,F
IYS2019-Kaganovsky-1-Bongo-1-36,abundance,13.5849056603774
IYS2019-Kaganovsky-1-Bongo-1-37,lifeStage,C4
IYS2019-Kaganovsky-1-Bongo-1-37,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-37,abundance,1.50943396226415
IYS2019-Kaganovsky-1-Bongo-1-38,lifeStage,C5
IYS2019-Kaganovsky-1-Bongo-1-38,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-38,abundance,9.81132075471698
IYS2019-Kaganovsky-1-Bongo-1-39,lifeStage,C1
IYS2019-Kaganovsky-1-Bongo-1-39,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-39,abundance,0.754716981132076
IYS2019-Kaganovsky-1-Bongo-1-40,lifeStage,NA
IYS2019-Kaganovsky-1-Bongo-1-40,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-40,abundance,0.35377358490566
IYS2019-Kaganovsky-1-Bongo-1-41,lifeStage,NA
IYS2019-Kaganovsky-1-Bongo-1-41,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-41,abundance,1.62735849056604
IYS2019-Kaganovsky-1-Bongo-1-42,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-42,sex,F
IYS2019-Kaganovsky-1-Bongo-1-42,abundance,1.13207547169811
IYS2019-Kaganovsky-1-Bongo-1-43,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-43,sex,M
IYS2019-Kaganovsky-1-Bongo-1-43,abundance,0.377358490566038
IYS2019-Kaganovsky-1-Bongo-1-44,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-44,sex,F
IYS2019-Kaganovsky-1-Bongo-1-44,abundance,3.39622641509434
IYS2019-Kaganovsky-1-Bongo-1-45,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-45,sex,M
IYS2019-Kaganovsky-1-Bongo-1-45,abundance,1.13207547169811
IYS2019-Kaganovsky-1-Bongo-1-46,lifeStage,C3
IYS2019-Kaganovsky-1-Bongo-1-46,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-46,abundance,0.754716981132076
IYS2019-Kaganovsky-1-Bongo-1-47,lifeStage,C4
IYS2019-Kaganovsky-1-Bongo-1-47,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-47,abundance,2.26415094339623
IYS2019-Kaganovsky-1-Bongo-1-48,lifeStage,C5
IYS2019-Kaganovsky-1-Bongo-1-48,sex,F
IYS2019-Kaganovsky-1-Bongo-1-48,abundance,2.64150943396226
IYS2019-Kaganovsky-1-Bongo-1-49,lifeStage,C5
IYS2019-Kaganovsky-1-Bongo-1-49,sex,M
IYS2019-Kaganovsky-1-Bongo-1-49,abundance,4.90566037735849
IYS2019-Kaganovsky-1-Bongo-1-50,lifeStage,NA
IYS2019-Kaganovsky-1-Bongo-1-50,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-50,abundance,0.188679245283019
IYS2019-Kaganovsky-1-Bongo-1-51,lifeStage,C5
IYS2019-Kaganovsky-1-Bongo-1-51,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-51,abundance,0.377358490566038
IYS2019-Kaganovsky-1-Bongo-1-52,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-52,sex,F
IYS2019-Kaganovsky-1-Bongo-1-52,abundance,0.377358490566038
IYS2019-Kaganovsky-1-Bongo-1-53,lifeStage,C3
IYS2019-Kaganovsky-1-Bongo-1-53,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-53,abundance,0.754716981132076
IYS2019-Kaganovsky-1-Bongo-1-54,lifeStage,C5
IYS2019-Kaganovsky-1-Bongo-1-54,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-54,abundance,1.50943396226415
IYS2019-Kaganovsky-1-Bongo-1-55,lifeStage,C6
IYS2019-Kaganovsky-1-Bongo-1-55,sex,F
IYS2019-Kaganovsky-1-Bongo-1-55,abundance,0.754716981132076
IYS2019-Kaganovsky-1-Bongo-1-56,lifeStage,larva
IYS2019-Kaganovsky-1-Bongo-1-56,sex,NA
IYS2019-Kaganovsky-1-Bongo-1-56,abundance,0.377358490566038
IYS2019-Kaganovsky-10-Bongo-1-1,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-1,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-1,abundance,0.136023577420086
IYS2019-Kaganovsky-10-Bongo-1-2,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-2,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-2,abundance,0.838812060757198
IYS2019-Kaganovsky-10-Bongo-1-3,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-3,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-3,abundance,1.45091815914759
IYS2019-Kaganovsky-10-Bongo-1-4,lifeStage,C4
IYS2019-Kaganovsky-10-Bongo-1-4,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-4,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-5,lifeStage,C1
IYS2019-Kaganovsky-10-Bongo-1-5,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-5,abundance,5.07821355701655
IYS2019-Kaganovsky-10-Bongo-1-6,lifeStage,C2
IYS2019-Kaganovsky-10-Bongo-1-6,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-6,abundance,4.35275447744276
IYS2019-Kaganovsky-10-Bongo-1-7,lifeStage,C3
IYS2019-Kaganovsky-10-Bongo-1-7,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-7,abundance,3.62729539786896
IYS2019-Kaganovsky-10-Bongo-1-8,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-8,sex,F
IYS2019-Kaganovsky-10-Bongo-1-8,abundance,1.45091815914759
IYS2019-Kaganovsky-10-Bongo-1-9,lifeStage,juvenile
IYS2019-Kaganovsky-10-Bongo-1-9,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-9,abundance,4.35275447744276
IYS2019-Kaganovsky-10-Bongo-1-10,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-10,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-10,abundance,0.0680117887100431
IYS2019-Kaganovsky-10-Bongo-1-11,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-11,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-11,abundance,0.294717751076853
IYS2019-Kaganovsky-10-Bongo-1-12,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-12,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-12,abundance,0.022670596236681
IYS2019-Kaganovsky-10-Bongo-1-13,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-13,sex,F
IYS2019-Kaganovsky-10-Bongo-1-13,abundance,5.07821355701655
IYS2019-Kaganovsky-10-Bongo-1-14,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-14,sex,M
IYS2019-Kaganovsky-10-Bongo-1-14,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-15,lifeStage,C3
IYS2019-Kaganovsky-10-Bongo-1-15,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-15,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-16,lifeStage,C4
IYS2019-Kaganovsky-10-Bongo-1-16,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-16,abundance,2.17637723872138
IYS2019-Kaganovsky-10-Bongo-1-17,lifeStage,C5
IYS2019-Kaganovsky-10-Bongo-1-17,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-17,abundance,1.45091815914759
IYS2019-Kaganovsky-10-Bongo-1-18,lifeStage,nauplius
IYS2019-Kaganovsky-10-Bongo-1-18,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-18,abundance,1.45091815914759
IYS2019-Kaganovsky-10-Bongo-1-19,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-19,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-19,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-20,lifeStage,C4
IYS2019-Kaganovsky-10-Bongo-1-20,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-20,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-21,lifeStage,C5
IYS2019-Kaganovsky-10-Bongo-1-21,sex,M
IYS2019-Kaganovsky-10-Bongo-1-21,abundance,2.90183631829517
IYS2019-Kaganovsky-10-Bongo-1-22,lifeStage,C5
IYS2019-Kaganovsky-10-Bongo-1-22,sex,F
IYS2019-Kaganovsky-10-Bongo-1-22,abundance,0.702788483337112
IYS2019-Kaganovsky-10-Bongo-1-23,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-23,sex,F
IYS2019-Kaganovsky-10-Bongo-1-23,abundance,1.74563591022444
IYS2019-Kaganovsky-10-Bongo-1-24,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-24,sex,M
IYS2019-Kaganovsky-10-Bongo-1-24,abundance,0.158694173656767
IYS2019-Kaganovsky-10-Bongo-1-25,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-25,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-25,abundance,0.566764905917026
IYS2019-Kaganovsky-10-Bongo-1-26,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-26,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-26,abundance,2.92450691453185
IYS2019-Kaganovsky-10-Bongo-1-27,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-27,sex,F
IYS2019-Kaganovsky-10-Bongo-1-27,abundance,0.022670596236681
IYS2019-Kaganovsky-10-Bongo-1-28,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-28,sex,M
IYS2019-Kaganovsky-10-Bongo-1-28,abundance,0.0680117887100431
IYS2019-Kaganovsky-10-Bongo-1-29,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-29,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-29,abundance,0.0680117887100431
IYS2019-Kaganovsky-10-Bongo-1-30,lifeStage,furcillia
IYS2019-Kaganovsky-10-Bongo-1-30,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-30,abundance,1.45091815914759
IYS2019-Kaganovsky-10-Bongo-1-31,lifeStage,calyptopsis
IYS2019-Kaganovsky-10-Bongo-1-31,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-31,abundance,2.90183631829517
IYS2019-Kaganovsky-10-Bongo-1-32,lifeStage,egg
IYS2019-Kaganovsky-10-Bongo-1-32,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-32,abundance,7.25459079573793
IYS2019-Kaganovsky-10-Bongo-1-33,lifeStage,nauplius
IYS2019-Kaganovsky-10-Bongo-1-33,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-33,abundance,1.45091815914759
IYS2019-Kaganovsky-10-Bongo-1-34,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-34,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-34,abundance,23.2146905463614
IYS2019-Kaganovsky-10-Bongo-1-35,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-35,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-35,abundance,0
IYS2019-Kaganovsky-10-Bongo-1-36,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-36,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-36,abundance,2.17637723872138
IYS2019-Kaganovsky-10-Bongo-1-37,lifeStage,C4
IYS2019-Kaganovsky-10-Bongo-1-37,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-37,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-38,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-38,sex,F
IYS2019-Kaganovsky-10-Bongo-1-38,abundance,1.45091815914759
IYS2019-Kaganovsky-10-Bongo-1-39,lifeStage,C2
IYS2019-Kaganovsky-10-Bongo-1-39,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-39,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-40,lifeStage,C3
IYS2019-Kaganovsky-10-Bongo-1-40,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-40,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-41,lifeStage,C5
IYS2019-Kaganovsky-10-Bongo-1-41,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-41,abundance,4.35275447744276
IYS2019-Kaganovsky-10-Bongo-1-42,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-42,sex,F
IYS2019-Kaganovsky-10-Bongo-1-42,abundance,2.17637723872138
IYS2019-Kaganovsky-10-Bongo-1-43,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-43,sex,M
IYS2019-Kaganovsky-10-Bongo-1-43,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-44,lifeStage,C4
IYS2019-Kaganovsky-10-Bongo-1-44,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-44,abundance,21.7637723872138
IYS2019-Kaganovsky-10-Bongo-1-45,lifeStage,C5
IYS2019-Kaganovsky-10-Bongo-1-45,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-45,abundance,7.98004987531172
IYS2019-Kaganovsky-10-Bongo-1-46,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-46,sex,F
IYS2019-Kaganovsky-10-Bongo-1-46,abundance,2.90183631829517
IYS2019-Kaganovsky-10-Bongo-1-47,lifeStage,C1
IYS2019-Kaganovsky-10-Bongo-1-47,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-47,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-48,lifeStage,C2
IYS2019-Kaganovsky-10-Bongo-1-48,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-48,abundance,5.80367263659034
IYS2019-Kaganovsky-10-Bongo-1-49,lifeStage,C3
IYS2019-Kaganovsky-10-Bongo-1-49,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-49,abundance,14.5091815914759
IYS2019-Kaganovsky-10-Bongo-1-50,lifeStage,C5
IYS2019-Kaganovsky-10-Bongo-1-50,sex,M
IYS2019-Kaganovsky-10-Bongo-1-50,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-51,lifeStage,C4
IYS2019-Kaganovsky-10-Bongo-1-51,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-51,abundance,0.022670596236681
IYS2019-Kaganovsky-10-Bongo-1-52,lifeStage,C5
IYS2019-Kaganovsky-10-Bongo-1-52,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-52,abundance,0.0906823849467241
IYS2019-Kaganovsky-10-Bongo-1-53,lifeStage,C4
IYS2019-Kaganovsky-10-Bongo-1-53,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-53,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-54,lifeStage,C1
IYS2019-Kaganovsky-10-Bongo-1-54,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-54,abundance,1.45091815914759
IYS2019-Kaganovsky-10-Bongo-1-55,lifeStage,C2
IYS2019-Kaganovsky-10-Bongo-1-55,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-55,abundance,2.90183631829517
IYS2019-Kaganovsky-10-Bongo-1-56,lifeStage,C3
IYS2019-Kaganovsky-10-Bongo-1-56,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-56,abundance,1.45091815914759
IYS2019-Kaganovsky-10-Bongo-1-57,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-57,sex,F
IYS2019-Kaganovsky-10-Bongo-1-57,abundance,6.52913171616414
IYS2019-Kaganovsky-10-Bongo-1-58,lifeStage,C4
IYS2019-Kaganovsky-10-Bongo-1-58,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-58,abundance,14.5091815914759
IYS2019-Kaganovsky-10-Bongo-1-59,lifeStage,C5
IYS2019-Kaganovsky-10-Bongo-1-59,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-59,abundance,17.411017909771
IYS2019-Kaganovsky-10-Bongo-1-60,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-60,sex,F
IYS2019-Kaganovsky-10-Bongo-1-60,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-61,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-61,sex,F
IYS2019-Kaganovsky-10-Bongo-1-61,abundance,1.45091815914759
IYS2019-Kaganovsky-10-Bongo-1-62,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-62,sex,M
IYS2019-Kaganovsky-10-Bongo-1-62,abundance,1.45091815914759
IYS2019-Kaganovsky-10-Bongo-1-63,lifeStage,C5
IYS2019-Kaganovsky-10-Bongo-1-63,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-63,abundance,6.52913171616414
IYS2019-Kaganovsky-10-Bongo-1-64,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-64,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-64,abundance,0.317388347313534
IYS2019-Kaganovsky-10-Bongo-1-65,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-65,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-65,abundance,0.793470868283836
IYS2019-Kaganovsky-10-Bongo-1-66,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-66,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-66,abundance,0.022670596236681
IYS2019-Kaganovsky-10-Bongo-1-67,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-67,sex,F
IYS2019-Kaganovsky-10-Bongo-1-67,abundance,0.022670596236681
IYS2019-Kaganovsky-10-Bongo-1-68,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-68,sex,F
IYS2019-Kaganovsky-10-Bongo-1-68,abundance,5.07821355701655
IYS2019-Kaganovsky-10-Bongo-1-69,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-69,sex,M
IYS2019-Kaganovsky-10-Bongo-1-69,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-70,lifeStage,C2
IYS2019-Kaganovsky-10-Bongo-1-70,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-70,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-71,lifeStage,C3
IYS2019-Kaganovsky-10-Bongo-1-71,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-71,abundance,2.17637723872138
IYS2019-Kaganovsky-10-Bongo-1-72,lifeStage,C4
IYS2019-Kaganovsky-10-Bongo-1-72,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-72,abundance,3.62729539786896
IYS2019-Kaganovsky-10-Bongo-1-73,lifeStage,C5
IYS2019-Kaganovsky-10-Bongo-1-73,sex,F
IYS2019-Kaganovsky-10-Bongo-1-73,abundance,5.80367263659034
IYS2019-Kaganovsky-10-Bongo-1-74,lifeStage,C5
IYS2019-Kaganovsky-10-Bongo-1-74,sex,M
IYS2019-Kaganovsky-10-Bongo-1-74,abundance,7.25459079573793
IYS2019-Kaganovsky-10-Bongo-1-75,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-75,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-75,abundance,0.158694173656767
IYS2019-Kaganovsky-10-Bongo-1-76,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-76,sex,M
IYS2019-Kaganovsky-10-Bongo-1-76,abundance,0.725459079573793
IYS2019-Kaganovsky-10-Bongo-1-77,lifeStage,NA
IYS2019-Kaganovsky-10-Bongo-1-77,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-77,abundance,0.272047154840172
IYS2019-Kaganovsky-10-Bongo-1-78,lifeStage,s0
IYS2019-Kaganovsky-10-Bongo-1-78,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-78,abundance,0.158694173656767
IYS2019-Kaganovsky-10-Bongo-1-79,lifeStage,C5
IYS2019-Kaganovsky-10-Bongo-1-79,sex,NA
IYS2019-Kaganovsky-10-Bongo-1-79,abundance,2.90183631829517
IYS2019-Kaganovsky-10-Bongo-1-80,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-80,sex,F
IYS2019-Kaganovsky-10-Bongo-1-80,abundance,2.90183631829517
IYS2019-Kaganovsky-10-Bongo-1-81,lifeStage,C6
IYS2019-Kaganovsky-10-Bongo-1-81,sex,M
IYS2019-Kaganovsky-10-Bongo-1-81,abundance,0.725459079573793
